studentboliger,studentbolig,NOUN,Masc
trega,trege,VERB,na
trege,trege,VERB,na
schizofren,schizofren,ADJ,na
Disiplinærutvalget,disiplinærutvalg,NOUN,Neuter
Leveransen,leveranse,NOUN,Masc
Leveranser,leveranse,NOUN,Masc
simulasjon,simulasjon,NOUN,Masc
tekstilarbeider,tekstilarbeider,NOUN,Masc
Motstanderen,motstander,NOUN,Masc
viralt,viral,ADJ,na
sprøytestikk,sprøytestikk,NOUN,Neuter
folkelige,folkelig,ADJ,na
Rekreasjon,rekreasjon,NOUN,Masc
tilleggsopplysninger,tilleggsopplysning,NOUN,Masc
korer,kore,VERB,na
foreldreløse,foreldreløs,ADJ,na
koret,kore,VERB,na
slavehandel,slavehandel,NOUN,Masc
tredobling,tredobling,NOUN,Fem
tilleggsopplysningen,tilleggsopplysning,NOUN,Masc
nittitallet,nittitall,NOUN,Neuter
foreldreløst,foreldreløs,ADJ,na
dørene,dør,NOUN,Fem
tannhjul,tannhjul,NOUN,Neuter
øyelegen,øyelege,NOUN,Masc
kommunikasjonssystemer,kommunikasjonssystem,NOUN,Neuter
øyeleger,øyelege,NOUN,Masc
kommunikasjonssystemet,kommunikasjonssystem,NOUN,Neuter
voldtekter,voldtekt,NOUN,Masc
kompromitterer,kompromittere,VERB,na
skibinding,skibinding,NOUN,Fem
stjertmeisa,stjertmeis,NOUN,Masc
voldtekten,voldtekt,NOUN,Masc
grunnlov,grunnlov,NOUN,Masc
oppnevnt,oppnevne,VERB,na
saksøkere,saksøker,NOUN,Masc
Omdømme,omdømme,NOUN,Neuter
Hodejegere,hodejeger,NOUN,Masc
oppnevne,oppnevne,VERB,na
tredd,træ,VERB,na
Motstanderne,motstander,NOUN,Masc
Sveiva,sveive,VERB,na
Lagringen,lagring,NOUN,Masc
trend,trend,NOUN,Masc
trene,trene,VERB,na
Vonde,vond,ADJ,na
elevrådet,elevråd,NOUN,Neuter
bæringen,bæring,NOUN,Masc
Ringen,ring,NOUN,Masc
sjangere,sjanger,NOUN,Masc
Ringer,ringer,NOUN,Masc
stedsnavn,stedsnavn,NOUN,Neuter
opprullingen,opprulling,NOUN,Masc
språkstrid,språkstrid,NOUN,Masc
skjerme,skjerme,VERB,na
tingsrett,tingsrett,NOUN,Masc
livstruende,livstruende,ADJ,na
bæringer,bæring,NOUN,Masc
Survey,survey,NOUN,Masc
trent,trent,ADJ,na
treng,trenge,VERB,na
definisjon,definisjon,NOUN,Masc
Krenkelse,krenkelse,NOUN,Masc
jærbu,jærbu,NOUN,Masc
membranen,membran,NOUN,Masc
membraner,membran,NOUN,Masc
tyskspråklige,tyskspråklig,ADJ,na
sovner,sovne,VERB,na
sovnet,sovne,VERB,na
asylbarn,asylbarn,NOUN,Neuter
Chat,chat,NOUN,Masc
trojanere,trojaner,NOUN,Masc
derifra,derfra,ADV,na
Fruen,frue,NOUN,Fem
korke,korke,VERB,na
videoopptak,videoopptak,NOUN,Neuter
Nærmer,nærme,VERB,na
skjerpa,skjerpe,VERB,na
firkløver,firkløver,NOUN,Masc
skjerpe,skjerpe,VERB,na
korka,korka,ADJ,na
sportsklubben,sportsklubb,NOUN,Masc
terskel,terskel,NOUN,Masc
tusket,tusket,ADJ,na
svingradiusen,svingradius,NOUN,Masc
plastpose,plastpose,NOUN,Masc
Muggsopp,muggsopp,NOUN,Masc
treig,treg,ADJ,na
tusker,tuske,VERB,na
karosseriverksted,karosseriverksted,NOUN,Neuter
Samboerparet,samboerpar,NOUN,Neuter
innsparing,innsparing,NOUN,Masc
tredjeparter,tredjepart,NOUN,Masc
Underrapportering,underrapportering,NOUN,Fem
tredjeparten,tredjepart,NOUN,Masc
kvernede,kverne,VERB,na
kyllingfileter,kyllingfilet,NOUN,Masc
sketsj,sketsj,NOUN,Masc
Hyppigst,hyppig,ADJ,na
trekk,trekk,NOUN,Masc
Kjøpere,kjøper,NOUN,Masc
kriminalteknikerne,kriminaltekniker,NOUN,Masc
sparepenger,sparepenger,NOUN,Masc
omhyggelige,omhyggelig,ADJ,na
